frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
612,313,198,38,297,210,-1,-1
613,312,198,37,300,215,-1,-1
614,314,198,38,303,218,-1,-1
615,313,198,38,307,221,-1,-1
616,314,198,37,312,223,-1,-1
617,314,198,37,315,225,-1,-1
618,313,198,38,320,226,-1,-1
619,313,198,38,324,226,-1,-1
620,314,198,38,330,225,-1,-1
621,314,198,38,332,223,-1,-1
622,313,198,38,-1,-1,-1,-1
623,313,198,38,-1,-1,-1,-1
624,313,198,38,-1,-1,-1,-1
625,314,198,37,-1,-1,-1,-1
626,314,198,38,-1,-1,-1,-1
627,314,198,37,-1,-1,-1,-1
628,314,198,37,-1,-1,-1,-1
629,313,197,38,-1,-1,-1,-1
630,314,198,38,-1,-1,-1,-1
631,314,198,38,-1,-1,-1,-1
632,314,198,38,-1,-1,-1,-1
633,314,197,38,-1,-1,-1,-1
634,314,198,38,-1,-1,-1,-1
635,314,198,37,-1,-1,-1,-1
636,314,198,37,326,168,-1,-1
637,314,198,37,322,167,-1,-1
638,314,198,37,317,167,-1,-1
639,314,197,38,312,167,-1,-1
640,314,197,38,307,169,-1,-1
641,314,198,37,303,171,-1,-1
642,313,197,38,300,174,-1,-1
643,313,197,38,297,178,-1,-1
644,314,197,38,294,183,-1,-1
645,313,197,38,293,188,-1,-1
646,314,196,37,292,193,-1,-1
647,313,197,38,292,198,-1,-1
648,314,196,36,293,203,-1,-1
649,314,196,36,295,207,-1,-1
650,314,196,36,297,212,-1,-1
651,314,196,36,300,215,-1,-1
652,313,197,38,304,219,-1,-1
653,314,197,38,308,221,-1,-1
654,314,196,37,313,224,-1,-1
655,314,196,37,316,224,-1,-1
656,314,196,37,322,224,-1,-1
657,314,196,37,325,225,-1,-1
658,314,197,38,331,223,-1,-1
659,314,196,38,-1,-1,-1,-1
660,314,196,38,-1,-1,-1,-1
661,314,196,37,-1,-1,-1,-1
662,315,197,38,346,209,-1,-1
663,314,196,37,-1,-1,-1,-1
664,314,196,38,-1,-1,-1,-1
665,314,196,37,-1,-1,-1,-1
666,314,196,36,-1,-1,-1,-1
667,314,196,36,-1,-1,-1,-1
668,316,196,38,-1,-1,-1,-1
669,314,196,37,-1,-1,-1,-1
670,315,195,38,-1,-1,-1,-1
671,314,195,37,-1,-1,-1,-1
672,314,196,37,-1,-1,-1,-1
673,315,195,38,327,166,-1,-1
674,315,195,38,321,164,-1,-1
675,315,194,37,317,164,-1,-1
676,315,195,38,312,164,-1,-1
677,314,194,37,307,165,-1,-1
678,314,194,37,303,168,-1,-1
679,314,194,37,299,171,-1,-1
680,314,194,38,296,174,-1,-1
681,314,194,38,293,179,-1,-1
682,314,194,38,291,184,-1,-1
683,314,194,38,290,189,-1,-1
684,314,194,38,290,194,-1,-1
685,314,194,37,291,199,-1,-1
686,314,194,38,292,204,-1,-1
687,314,194,38,295,209,-1,-1
688,314,194,37,298,212,-1,-1
689,314,194,36,302,216,-1,-1
690,314,194,36,306,219,-1,-1
691,314,194,37,311,220,-1,-1
692,314,194,37,316,222,-1,-1
693,314,194,37,320,222,-1,-1
694,314,194,37,324,222,-1,-1
695,314,194,37,330,219,-1,-1
696,314,193,38,334,217,-1,-1
697,314,193,38,338,214,-1,-1
698,314,193,38,-1,-1,-1,-1
699,314,194,37,-1,-1,-1,-1
700,314,192,36,-1,-1,-1,-1
701,315,193,38,347,198,-1,-1
702,314,192,36,-1,-1,-1,-1
703,314,192,37,-1,-1,-1,-1
704,314,192,37,-1,-1,-1,-1
